"AIM_low","GEM_low","MESSAGE_low","REMIND_low","WITCH_low","AIM_mean","GEM_mean","MESSAGE_mean","REMIND_mean","WITCH_mean","AIM_median","GEM_median","MESSAGE_median","REMIND_median","WITCH_median","AIM_high","GEM_high","MESSAGE_high","REMIND_high","WITCH_high"
3.43883419709591,1.68651265582481,1.19483530073317,1.39104328075425,2.87085145159632,3.68528617003115,1.84218372206808,1.71142793125773,1.71200088394428,3.10435030045297,3.66279777560493,1.83651866496518,1.68172416049186,1.69497048779741,3.09704905897548,4.02080754518997,2.01605057617515,2.32667052068272,2.09324675885855,3.36170277957535
3.41726749251586,1.67220740199506,1.18242274775954,1.37473935610242,2.84101070215773,3.65837576672706,1.82590671108367,1.69610319609579,1.6919165946735,3.07192699885124,3.63605622781142,1.81966108463364,1.66794007464909,1.67496653727536,3.06420908126511,3.98889778077865,1.99856568413579,2.30591787940123,2.06591628320181,3.32932200339641
3.39503256090265,1.65884592438794,1.17272506837297,1.36043178106296,2.81348764146627,3.63218365589354,1.80984517352829,1.68155273243631,1.6739349314456,3.04044445088419,3.61028404858404,1.80411819475948,1.65351122750975,1.65746053972277,3.03202455474981,3.95751564248848,1.97940229152673,2.28655529326558,2.04414316719844,3.29389803311061
3.37362376747032,1.64522521428419,1.15963213547768,1.34538201188063,2.78467864772135,3.60533263832103,1.79402682888052,1.66660222609947,1.65600438786338,3.00976642445099,3.58403056677903,1.78871318363427,1.6389770019006,1.63968075085713,3.00237366277404,3.92518308313804,1.9601904445438,2.26818408901553,2.0209051970071,3.25993538363324
3.35167170363504,1.63173749043253,1.14713643148685,1.32920397690041,2.75708210950105,3.58013189991608,1.77822617266426,1.65128349854096,1.63700894709345,2.97846124989811,3.55927691157597,1.77344230783629,1.62401683376494,1.62065140409785,2.97033692348681,3.89411646686129,1.94088963984276,2.24621949998323,2.00101741478574,3.22696500938443
3.33018390972895,1.61850353413587,1.14062512103311,1.31426788061989,2.72901610596625,3.55413362510678,1.76309274845409,1.63682710854165,1.61839538966564,2.94752681388712,3.53341930116497,1.75799729769156,1.60669750462616,1.60217545507697,2.93997719894708,3.86008660779707,1.92437462427639,2.2312040574688,1.97450317385648,3.19260900392052
3.3095431001193,1.60626210316795,1.12805027950323,1.30048203228758,2.70319932556308,3.52976784639416,1.74788162445984,1.6228354035803,1.60172722626866,2.91855077398465,3.50866691882862,1.74278191520673,1.59507217530138,1.58601159655898,2.91031834703958,3.83199966628537,1.90742613273412,2.20829367152945,1.95693345771705,3.16181831789148
3.28886303390724,1.59327185185486,1.11421179887263,1.28516953068074,2.67457284986758,3.50527698356148,1.73337289333335,1.60765684830069,1.58344301401985,2.88830213198992,3.48475180555616,1.72843015318431,1.58112247431274,1.56791985864493,2.88059999974977,3.80388156204246,1.88882150475395,2.18752586954129,1.93474150253125,3.13079924552012
3.26798180225976,1.58029220263079,1.1049395475422,1.27005294074241,2.65077175587574,3.48029537410857,1.71847989140456,1.5931347928056,1.56572866129455,2.86076099124335,3.46037969672848,1.71403714600558,1.56522373189281,1.55047438368872,2.85251566459948,3.77377363299416,1.87158355777815,2.17453366973296,1.91502892195213,3.09890921828546
3.24824930743145,1.56861829583372,1.09399780622249,1.2560473480389,2.62338809468975,3.45699499961048,1.70466354237804,1.57861142571485,1.54748192610288,2.83090602489411,3.43703707643856,1.70009395003067,1.55145930591453,1.53205059678749,2.8228781705141,3.74742513588477,1.85651527661743,2.15204079867439,1.88933319597382,3.0678543738212
3.2277483691265,1.5562162911083,1.08582881385758,1.24393161484007,2.59747470766393,3.43228040686983,1.6901271880567,1.56521196884997,1.53127837568699,2.80296284460795,3.41291366515776,1.68559159384196,1.53898263056679,1.51572698268417,2.79443902184939,3.71462971448504,1.83865441657446,2.1306977437635,1.87101767175576,3.03691596576125
3.20816559969822,1.54433769577558,1.07036791446648,1.22917970583233,2.57313900102068,3.40964185454734,1.67637428391725,1.5504591078891,1.5145459439281,2.77461433242862,3.38997534900644,1.67204471683037,1.52413062547941,1.49942704756415,2.76624142082467,3.69007328825905,1.82304925106206,2.11759502650809,1.85168464673951,3.00600608699955
3.18835207025091,1.53210134797591,1.06210180483794,1.21425666908542,2.54705150994514,3.38625616573757,1.66262272492153,1.5379164551924,1.49718957053257,2.74681233817573,3.36734195692919,1.65826846282506,1.51157313327518,1.48230811003169,2.73765843671822,3.66010454794158,1.8069304010275,2.10420783701968,1.82835749094549,2.97755914057793
3.16909107413014,1.52061017899945,1.04998548327274,1.20127223077389,2.52044580350862,3.36368351366787,1.64936721245145,1.52216768433974,1.48066384881314,2.71986503545486,3.34488701483407,1.64534838492884,1.49603623706498,1.466768534228,2.71138407436176,3.63311628065843,1.79156523636785,2.08003543880372,1.80561001317475,2.94869715280242
3.15052510917053,1.50917021496715,1.04388479454175,1.18801868522651,2.49848818094718,3.34075813493735,1.63584076661768,1.51127026194965,1.46383491727654,2.69279793423602,3.32290317353094,1.63168606697554,1.48587868398535,1.44960686413905,2.68329690004358,3.60291596023777,1.77686186513445,2.06375590414979,1.78833764844718,2.91962634365924
3.13081041142772,1.49795326245497,1.03361171978521,1.17517608783668,2.47287217514027,3.31853711230448,1.62268895210881,1.49700077150062,1.44854258112212,2.66602344475566,3.30054785077062,1.61901620099284,1.47221580666821,1.43473746116712,2.65649207727721,3.57853232489746,1.76029016213269,2.04844995780321,1.77022973426615,2.89186780021242
3.11255730674185,1.48625266262563,1.02557114892184,1.1622295416563,2.44803426044084,3.29676131641817,1.60978461129931,1.48326851109611,1.43330654194315,2.63957874138467,3.27867910928147,1.60600261611624,1.45778177566666,1.41920829725851,2.63015303298807,3.55238252758762,1.74567269136742,2.02856088917582,1.75296546925869,2.8643725101915
3.09429042154242,1.47500047554637,1.01288010789611,1.14842352357141,2.4251233105108,3.27489521668778,1.59745996550348,1.4691571016944,1.41603072402927,2.61390826673083,3.25751692342529,1.59363735218395,1.44336650435105,1.4025008915793,2.60451260892425,3.52475791167189,1.7320628091083,2.01270660698823,1.73162286228089,2.83444656797941
3.07551908862114,1.46455294140149,1.00318174164775,1.13542842075515,2.40106927975165,3.25310276780921,1.58462937287764,1.45816364242983,1.39988819808069,2.58869527686287,3.23604065244668,1.58070959859207,1.43231376292064,1.38545140450054,2.57916073028342,3.49972075684813,1.71816587839622,1.99899876939749,1.71203949760782,2.80914935215815
