"cb.grid","bestos.mm","bestos.0","bestos.1","bestos.2","bestos.se"
0,1450,1450,950,770,980
750,130.996881389556,113.171443921996,99.5807969985379,50.5085873319642,88.9834089619399
760,128.480352647401,110.719781401098,96.9284132727495,49.2362936201953,88.3404903872816
770,125.807472263173,108.135325791566,94.1029655354623,47.9201564344103,87.6159857377069
780,122.981378583212,105.413406748494,91.0993080270882,46.5629358172433,86.8056251042855
790,120.007957752926,102.550825277253,87.9155287836955,45.1688999413546,85.9066502698522
800,116.89710550377,99.547491067682,84.5548182748182,43.7431278281898,84.9164764923745
810,113.662872309435,96.4071251856146,81.0262885433298,42.2919061749822,83.8353177793131
820,110.322301251607,93.1368373157041,77.34451026589,40.82345050072,82.6632126994377
830,106.896730289731,89.7493245869039,73.5314847273278,39.3465116441347,81.4017453247502
840,103.409912760832,86.2619910597058,69.6153420396555,37.8705480466114,80.0534355194444
850,99.890072752054,82.7000179410072,65.6328197312107,36.4079678913419,78.6214208301211
860,96.3664853016046,79.0938602128661,61.6260584323618,34.9715089762526,77.1090398508638
870,92.8693403340911,75.4797978616842,57.6424382559181,33.5745628780299,75.5193598528295
880,89.4268286174018,71.8973507751062,53.7313820694268,32.2311813796552,73.8547121891357
890,86.064719480994,68.3887215066563,49.9434063381987,30.9541956374018,72.1157883937965
900,82.8034004104394,64.9951762374002,46.3264174134082,29.75560853621,70.3026530878455
910,79.6569704737198,61.7549586406572,42.9238793627862,28.6455827701412,68.4136725404821
920,76.6326516440619,58.7010730068688,39.7731471816148,27.6318082050905,66.4466038024127
930,73.7293635518792,55.8579189399197,36.9028300201897,26.7184799683061,64.3979215955241
940,70.9382095578806,53.2397103605799,34.3319425519025,25.9071644131736,62.2641271490775
950,68.2439174562072,50.8499306326124,32.0698997608907,25.1961289864439,60.0435812176704
960,65.6252647045697,48.6800583779261,30.1154151866991,24.5795130581512,57.7364476977528
970,63.0582849129414,46.7115358081236,28.4581639662231,24.0486344423152,55.3458966968534
980,60.5179498461341,44.9167990454632,27.0790132513733,23.5916279928397,52.8788101977564
990,57.982920733996,43.2630035042311,25.9525394414587,23.1952238268677,50.3461871795094
1000,55.4334064690888,41.7139208120976,25.0474857324396,22.8443900439964,47.7631742721281
1010,52.8577265161815,40.2332425216257,24.3286309328195,22.5233591804927,45.1486889844979
1020,50.2507946332766,38.7873556780351,23.7583848164018,22.2163796865765,42.5246487839576
1030,47.6155932214207,37.3476292110349,23.2983668429979,21.9084588500655,39.9148654754966
1040,44.9615893349713,35.892540937719,22.9114436664084,21.5865738944709,37.3437049391537
1050,42.3029639956145,34.4054711614765,22.5599224986141,21.2378633938535,34.8338176177401
1060,39.662249371785,32.8817427592928,22.2149243158334,20.8548457628204,32.4075019223674
1070,37.0628092896584,31.3215190815636,21.8496463311025,20.4315209906892,30.0821632050156
1080,34.5287860196692,29.7316996957371,21.4404526484425,19.9645602150647,27.8713251327548
1090,32.0836602804803,28.1217251391017,20.9721927954315,19.4557796421686,25.782982859007
1100,29.7489661452887,26.5056358790885,20.4354691833381,18.9064153257075,23.8202120429324
1110,27.5434738975761,24.8990485763966,19.826986262095,18.321544580398,21.9817643768807
1120,25.4805753524851,23.3178076622881,19.149041443361,17.7076236136464,20.2621774553415
1130,23.5705953067453,21.7768656599908,18.4087175700938,17.0717164552194,18.6530134468274
1140,21.820190855524,20.2894372392855,17.616852919361,16.4204177575419,17.1445985035916
1150,20.2314340582573,18.8664351487562,16.7874807341995,15.7603359948738,15.7248460994645
1160,18.8032580266698,17.5164672539366,15.9347435514373,15.0955602769438,14.3839176162762
1170,17.530210375993,16.24443590455,15.0736671496573,14.4298000652445,13.1123959081882
1180,16.4053096054029,15.0547631173298,14.2189315846584,13.7641740585916,11.9030342579608
1190,15.4176341027235,13.9462455893215,13.3833352526821,13.0981144031013,10.7507034682723
1200,14.554052081897,12.9192817344043,12.5779861753728,12.4304928368919,9.65311905360651
1210,13.8000893007767,11.9687104126422,11.811338665042,11.7596839764806,8.60939104277019
1220,13.1401825685448,11.0928378806968,11.0889772144327,11.0841762454112,7.62130306179115
1230,12.5549381312786,10.2845905896983,10.4146322264242,10.4031306523154,6.69091828022261
1240,12.0259008461287,9.53913992899602,9.78945814682569,9.71732341955758,5.82145900224456
1250,11.5369523535496,8.84894884240146,9.21141485721933,9.02770044125556,5.01593234592792
1260,11.0692388076902,8.20823656823869,8.67739720433132,8.33751584991465,4.27779320573639
1270,10.607175950521,7.6107835349116,8.18278827997403,7.65139261512266,3.60911034580298
1280,10.1366954857433,7.0508408991323,7.72172132620307,6.97488830032267,3.01034628104415
1290,9.64813941526983,6.52280569169158,7.28727894990508,6.31385304242018,2.4811361112597
1300,9.13474682246106,6.02095105824331,6.87288895014014,5.67460908963402,2.01959707427461
1310,8.59296823698604,5.54277329927259,6.47126776502525,5.06329769410116,1.6227718036416
1320,8.02439323712552,5.08684361216861,6.07767336357345,4.48605420943463,1.28715732321773
1330,7.4312724677489,4.64980560404805,5.68748183700293,3.94757385835313,1.00705127947062
1340,6.82089183917953,4.23146622860965,5.29811993945665,3.4520103537413,0.777174144098818
1350,6.20216200949565,3.83197583377766,4.90837902137627,3.00198908010067,0.591021089756209
1360,5.58671177489428,3.45357713123851,4.52023084208551,2.60035901841657,0.442853194527713
1370,4.9868170879981,3.09918733323719,4.13711925464311,2.24880004692334,0.326985394833852
1380,4.41503823922435,2.77262429295641,3.76439490638963,1.94796433547394,0.237724954600786
1390,3.88294074612232,2.47780347361997,3.40837669229912,1.69817650832519,0.170413579300986
1400,3.4012426249792,2.21870598804607,3.076112564473,1.49926431684029,0.119941972437127
1410,2.97836562322635,1.9998042799592,2.77555112454118,1.35031748859005,0.083020214321442
1420,2.62111255566062,1.82453120529977,2.51373898644215,1.25074039119392,0.0564736352022602
1430,2.33426943085062,1.69609521552112,2.29737592800942,1.1996495021982,0.037716774084729
1440,2.11884072858905,1.61520759522927,2.13031918439626,1.19431008493952,0.0246947535897582
1450,1.97458439023759,1.5823450969334,2.01567864777639,1.2325106565905,0.0158127530861742
1460,1.89945737038699,1.59689547695061,1.95486022263059,1.31152694640976,0.00986146491301501
1470,1.88925219062983,1.65649805039146,1.94687032416283,1.42779960155878,0.00594460525891777
1480,1.93880359367216,1.75798369206368,1.98927908398745,1.57792716832916,0.00371160179475767
1490,2.04213930014704,1.89730625154134,2.0782217455285,1.75742446874569,0.00227578179619133
1500,2.19222378103212,2.06912505455715,2.20808239425632,1.96118109416116,0.00137034715470688
1510,2.38099019736001,2.26673812895504,2.37154365124539,2.18341604176322,0.000511376902075336
1520,2.60043897232915,2.48314410406106,2.56076591824966,2.41794983787232,0
1530,2.84224435359725,2.71066983811944,2.76712197137993,2.65718870686821,0
1540,3.09754775738128,2.94083537521648,2.98115104450446,2.8930935039714,0
1550,3.3580772197315,3.16558596972898,3.19385847780204,3.11784409848391,0
1560,3.61506868519624,3.37635507976399,3.39582444293601,3.32287394851276,0
1570,3.86023924014241,3.56519439755917,3.57835985952241,3.50000013137043,0
1580,4.08438842309695,3.72412888716577,3.73287102009402,3.64080679997395,0
1590,4.28152308803608,3.84677272564954,3.85247299865276,3.73831738835147,0
1600,4.44420352774206,3.92823296832244,3.93188278333016,3.78698083837208,0
1610,4.56725289751356,3.96546080812318,3.96775559837437,3.78312850259246,0
1620,4.64669571868044,3.95748793753806,3.95890474908162,3.72533357536166,0
1630,4.68095286594993,3.90520602136795,3.90606499162058,3.6143223706945,0
1640,4.66969231347303,3.81228573704611,3.81279711394818,3.45432099136612,0
1650,4.6145547968118,3.68398157813265,3.68398157813265,3.25064802728967,0
1660,4.51792800306329,3.52615738963006,3.52615738963006,3.01104580046307,0
1670,4.38385476756944,3.34592284616352,3.34592284616352,2.74464213367521,0
1680,4.21718003383983,3.15052632299283,3.15052632299283,2.46131854185045,0
1690,4.02319089268361,2.946787705085,2.946787705085,2.17104086050302,0
