"cb.grid","bestos.mm","bestos.0","bestos.1","bestos.2","bestos.se"
0,1860,1860,1860,1700,1580
750,185.40197868716,184.637698518224,185.823610863355,183.983293354574,146.463921495193
760,185.33481832706,184.531543813362,185.704843270002,183.725982345036,145.236893537859
770,185.273289478654,184.431186408101,185.590076273979,183.443106314971,143.91936297903
780,185.217844453346,184.337135778313,185.479689768304,183.132589477699,142.510419687893
790,185.167925593361,184.248820987982,185.372870171141,182.788345218976,141.009303447824
800,185.12329493184,184.165911626546,185.268910933861,182.40577139169,139.415575781675
810,185.083735968629,184.088018471332,185.16690128084,181.980725052132,137.730450154796
820,185.047551603004,184.013201222132,185.064235095168,181.507176997475,135.955262555763
830,185.012977324504,183.939405455948,184.957481545087,180.982546018229,134.091229169414
840,184.977905904955,183.864227145771,184.84415826967,180.403817943299,132.140188282052
850,184.93828212759,183.783363618213,184.718628447804,179.76720089458,130.104906036264
860,184.889332808825,183.691913983003,184.575028909031,179.072157696125,127.986704484512
870,184.825975611392,183.584867178216,184.407484328822,178.317872712905,125.788827402669
880,184.74052294415,183.454355874592,184.207443477086,177.506460065665,123.513299622179
890,184.623349907284,183.290847698144,183.9649444935,176.635483257103,121.162530191739
900,184.465573033108,183.085302101118,183.670827265246,175.70619140442,118.738977333326
910,184.255437351249,182.828548661878,183.316140767679,174.718489745018,116.245083203499
920,183.983339767493,182.512217509578,182.890234111615,173.66889937938,113.68312174019
930,183.636550920747,182.12360464002,182.385029349578,172.556206752619,111.054944518964
940,183.203893404482,181.651911871346,181.788771396353,171.375857101337,108.361123654943
950,182.678298253759,181.0897111605,181.094742344902,170.121110949105,105.601757346528
960,182.053200627714,180.428461115155,180.294981826416,168.782712712541,102.775055456874
970,181.323138936305,179.660440811926,179.382089315199,167.349093423541,99.8773723035482
980,180.484158204228,178.776591436547,178.3469442527,165.804377913378,96.9031448209132
990,179.534303248226,177.768105651236,177.180193775013,164.130361174479,93.8456256116403
1000,178.472409008594,176.624330888728,175.870083161955,162.304998657924,90.6957307987513
1010,177.296776016852,175.333276715633,174.402927960617,160.302657612841,87.4451444121228
1020,176.003375130962,173.87797076957,172.759481921954,158.094288060697,84.0861365238705
1030,174.586548581123,172.239143281157,170.917691657041,155.647898273201,80.6131692404898
1040,173.036439099332,170.393298286668,168.85090771769,152.929403315609,77.0242299075754
1050,171.337339337936,168.312209326056,166.527573680791,149.903280486407,73.3207387238815
1060,169.470628624075,165.965583290513,163.914281591495,146.536188816773,69.5128176604724
1070,167.406153619727,163.319675983773,160.974686498091,142.796716625168,65.6149579890592
1080,165.112513919119,160.341194130866,157.672475604997,138.658569434514,61.6473645332141
1090,162.546955732356,156.992938609048,153.972419617149,134.102782770556,57.6363724203298
1100,159.665011886291,153.243111074021,149.843472099221,129.118872982961,53.6132121668117
1110,156.417917598165,149.06288596635,145.260906345524,123.707827331417,49.6119924886631
1120,152.757930350992,144.431371231307,140.210537973577,117.883958068439,45.6679436596047
1130,148.640098906729,139.335500433315,134.68866928359,111.673947574329,41.8158624349825
1140,144.028290490701,133.775293574336,128.707132479513,105.118709724678,38.0890994805489
1150,138.898767152135,127.764167680805,122.293080870232,98.2721158711237,34.5166554646028
1160,133.244947972524,121.331219799007,115.490455121292,91.200155593751,31.1231519729674
1170,127.081529088323,114.522570501937,108.360260432703,83.9794874159567,27.9269612971621
1180,120.445962645476,107.40032965634,100.978158528308,76.6940594298183,24.9401748098682
1190,113.401332540975,100.043514410701,93.4347931381793,69.4334308345945,22.1702541775631
1200,106.033466359945,92.5439955136017,85.829488298163,62.2886815484166,19.619020638156
1210,98.4497145487804,85.0051972902854,78.2687877680548,55.3499016447986,17.2837439929417
1220,90.7723658582546,77.5355889652119,70.8600405888322,48.7015458512848,15.157648117247
1230,83.132349984014,70.245112074195,63.7060751911706,42.4194484570231,13.2327146701431
1240,75.6613466057651,63.2387190721737,56.9012336906736,36.5671648760945,11.4969992315887
1250,68.4835574804751,56.6110680266742,50.5259545660007,31.1932126524155,9.9391540292661
1260,61.707954122301,50.4415030368382,44.6433567773213,26.3330150775125,8.54700776521564
1270,55.4219238716289,44.7901830257974,39.2969130973258,22.0042848737174,7.30905584978532
1280,49.6862853368323,39.6950640518085,34.508986623816,18.2084587518381,6.21309982956478
