"BHM_low","HSTOT_low","BHM_mean","HSTOT_mean","BHM_median","HSTOT_median","BHM_high","HSTOT_high"
2.76705421271605,1.28075529842831,12.6949632618596,2.88239749016029,12.6531771643377,2.87876905522382,21.893417383183,4.50959966742952
2.77565321851774,1.28929976910828,12.8229638058447,2.90186272561635,12.6742862383929,2.89568562788528,22.0965210559183,4.51254901597111
2.83817208141435,1.25193293968169,12.9148730244078,2.90107345395869,12.8336168154466,2.90776319470675,22.1494833293698,4.54190997688243
2.80866085833629,1.325481713986,12.9379603049474,2.95046704894963,12.8723577230163,2.94901030762367,22.3963590239755,4.57642595499596
2.73443371368176,1.33377474854235,13.1499571122732,2.96339283116107,13.0798861189754,2.96140153425516,22.7370938032509,4.60762730070731
2.89039401235052,1.32005314865343,13.267448306623,2.98072997777423,13.2075458604553,2.98326065840376,22.9446343213399,4.62230788994431
2.71993683225571,1.34408194181053,13.3094920991967,3.00381129259723,13.2630519198084,2.99739439171158,22.9977792675703,4.66851230423921
2.94695590683054,1.35674497710131,13.4861387991282,3.00841604769193,13.3902013731192,2.99900763639928,23.1795000433072,4.6836089623705
2.74619531655197,1.37546052829106,13.5838970409258,3.04651734487871,13.521538950534,3.04107249734697,23.4146206436912,4.73042687847308
2.83041528716125,1.36737879203062,13.7301569519957,3.05749978808426,13.6520427037151,3.05573762005751,23.7616999968926,4.74147591617963
2.78412261763245,1.38726109238051,13.813098256068,3.06909210916877,13.7957390979707,3.05570650108263,23.8267211923859,4.77186950493457
2.80269490124778,1.36912401117831,13.9434547145716,3.09132860662535,13.9095547073859,3.09144746208136,24.0310223323427,4.81748643543112
2.82100755100789,1.3662475804836,14.1265980406451,3.10798511446183,14.0711086107896,3.1010270320519,24.5389551250876,4.85562118814715
2.83906148099283,1.41064923258179,14.1983831573129,3.14504902652372,14.1630114387504,3.1476783600854,24.3910520359018,4.8931212862414
3.11557987918459,1.38618529907604,14.3471924190328,3.15860698093011,14.2778402059606,3.160026925786,24.7025902969066,4.897969157134
3.11492053429884,1.42938838141979,14.3619206537228,3.18666602839865,14.2868788019575,3.17699761963947,24.9328060828336,4.9665858974924
2.88941766512492,1.42930382028204,14.514781278362,3.19563764040168,14.4889139152226,3.20390030711833,25.1139003933366,4.96750652966098
3.16177561175545,1.42577175325772,14.7244791199674,3.21392388640669,14.70112701518,3.21149940824351,25.2467008807209,5.02062570215745
2.81995379339125,1.45014082009955,14.7950242908919,3.25155814230346,14.7681927040346,3.24599152642254,25.4364337720366,5.05398289885869
2.83592304472369,1.44129213262055,14.7779391854448,3.25907456545599,14.7644487789506,3.26890444129199,25.746114948463,5.08455155100249
3.01187390738487,1.47575767128441,14.9722009488599,3.27803210164788,14.8835754984976,3.26952322043295,25.8376799912239,5.09286359549627
3.232609054235,1.43920025457579,15.0409777207545,3.28289532254864,14.9714192300407,3.27462563274859,25.9442612261465,5.09841173692534
3.49579156022648,1.51265824844575,15.3020855712602,3.32525767139214,15.184448865484,3.31535845153839,26.5117349826893,5.15089127985786
3.36860319099184,1.47084502822182,15.319673004521,3.33323984363331,15.1958331106689,3.32692947680957,26.3245716022267,5.21939221080221
3.39353119294602,1.49317240222264,15.4071954615117,3.33482609382004,15.3582612433125,3.3299777072545,26.5134805633928,5.19261310074233
3.29383046114744,1.50527832513287,15.559839805386,3.38603994053415,15.4808691132718,3.38153066238666,26.8277033758896,5.25640451946608
3.44307657830379,1.47804734515597,15.7557209425374,3.40380226273236,15.7988938339743,3.40111710882048,26.8972070055976,5.2945716573012
3.32252330234447,1.49916460116284,15.769716179639,3.42658303047862,15.706301628868,3.42897633416362,27.2120714909105,5.32686248869838
3.40781416810119,1.5084873526261,15.861953274259,3.43941803132641,15.7608079412942,3.42995169851592,27.3950719502313,5.38140713982344
3.34931452642546,1.53057923474025,15.973931203946,3.4522586179398,15.849915214209,3.45596911048237,27.8078836257052,5.3903048226201
3.3623865159944,1.57630916233179,16.0884276539729,3.48021491512494,16.0359943730622,3.47439394737394,27.5916414602211,5.4408945743003
3.10835689065267,1.55264051424022,16.1295857531948,3.51611439341992,16.0396954380055,3.51387408706119,28.2037483103102,5.50324823212107
3.489482478541,1.58145033749866,16.1577450716569,3.52815473229419,16.1298180126071,3.52398367412331,27.8886688541049,5.47417920586055
3.03440505364051,1.58556449202086,16.2801258216233,3.54566287350981,16.219412848703,3.54166433634073,28.006978802658,5.52391841209223
3.19198940552425,1.57922357702397,16.3901987755977,3.55750303991476,16.3550276697981,3.55256001714229,28.3815247239392,5.55201317178134
3.05918715676842,1.57876132567252,16.4938598137049,3.59994328745619,16.456527443131,3.5929612879586,28.8442254186747,5.6199590394648
3.56937745219146,1.59542704373767,16.6032205387694,3.60930341115357,16.4618535605455,3.61087151228065,28.5592972726041,5.61531804421233
3.18023840035955,1.60773199935041,16.5316625319705,3.64011057743669,16.5502222251391,3.63947825742117,28.6405175286834,5.66393895233152
3.09413343042796,1.59448378794738,16.7998691978028,3.64237725178995,16.8789401999628,3.63868578444354,28.9383264545763,5.68838010941415
3.24364681844401,1.60856826499373,16.9562314331488,3.66130415741003,16.9009082427188,3.64025692731339,29.1690087379627,5.73470005793206
3.59519452314822,1.68271556520692,16.9304629344,3.70401368153744,16.7976428856009,3.68629531448698,29.5054053481704,5.75871267010684
3.60978304275426,1.67420702143492,17.1359756955934,3.72246423206687,17.0418979370236,3.72027257931162,29.4094793348659,5.7892681516499
3.2718536272523,1.71827405689696,17.1345422206702,3.73643876638522,17.1224883609421,3.73463604964583,29.5654519335903,5.80484208975692
