"iso3","year","gdpcap_nocc","gdpr","pop"
"AFG",2010,492.178782091746,NA,29.8899400160783
"AFG",2011,525.885199328851,0.0684840924955232,30.6688389831273
"AFG",2012,556.313911056714,0.0578618903264378,31.4667533718232
"AFG",2013,582.593504768901,0.04723878585432,32.2841354243122
"AFG",2014,603.925049353086,0.0366147998725916,33.1214629667403
"AFG",2015,619.621051699093,0.0259899839604607,33.9792415753151
"AFG",2016,634.951168235111,0.0247411163548754,34.8589708056156
"AFG",2017,649.866513666311,0.0234905393947986,35.761268965074
"AFG",2018,664.318270034169,0.0222380382185352,36.686784
"AFG",2019,677.971289516924,0.0205519253324959,37.6352199623463
"AFG",2020,690.983364518284,0.0191926637640245,38.6045964419474
"AFG",2021,705.308089972823,0.0207309266620701,39.5932525567335
"AFG",2022,721.015041342199,0.0222696316583879,40.6013935197442
"AFG",2023,738.181529076522,0.0238087789435932,41.6292212158947
"AFG",2024,756.893226649294,0.0253483687084135,42.6769339972543
"AFG",2025,777.244875350377,0.0268884011436843,43.7447264756542
"AFG",2026,798.780890390809,0.0277081467159539,44.8290231091386
"AFG",2027,821.568723997569,0.0285282658622577,45.9297305698626
"AFG",2028,845.680746347035,0.0293487588380221,47.0467417013406
"AFG",2029,871.194618094232,0.0301696258989053,48.1799352725133
"AFG",2030,898.19369489676,0.0309908673007979,49.3291757420905
"AFG",2031,926.51824926823,0.031535018039428,50.4878432235378
"AFG",2032,956.240543901133,0.0320795566157255,51.6553176559455
"AFG",2033,987.437397694575,0.0326244834444793,52.8309545547175
"AFG",2034,1020.190497643,0.0331697989410698,54.0140853689332
"AFG",2035,1054.58673395885,0.0337155035214705,55.2040178911089
"AFG",2036,1090.92296730863,0.0344554242716297,56.3963667209357
"AFG",2037,1129.31905905917,0.0351959697440938,57.5901570680946
"AFG",2038,1169.90355701408,0.0359371407303848,58.7843908033201
"AFG",2039,1212.81437707511,0.0366789380233639,59.9780476653807
"AFG",2040,1258.19954342447,0.0374213624172315,61.1700865423534
"AFG",2041,1305.97235798313,0.0379691876446173,62.3605997608644
"AFG",2042,1356.27509095296,0.0385174561026076,63.5485754376848
"AFG",2043,1409.259561957,0.0390661683293294,64.7329847170766
"AFG",2044,1465.08783732132,0.0396153248637803,65.912783130025
"AFG",2045,1523.932982251,0.0401649262458317,67.0869120126675
"AFG",2046,1585.70804254902,0.040536599061445,68.2559853588597
"AFG",2047,1650.57706693679,0.0409085548204076,69.4190079675422
"AFG",2048,1718.71419856384,0.0412807938459367,70.5749739368658
"AFG",2049,1790.30434498391,0.041653316461743,71.7228680311967
"AFG",2050,1865.54389557937,0.04202612299203,72.8616670905378
"AFG",2051,1944.244872811,0.0421866123965864,73.9937605968335
"AFG",2052,2026.57821749041,0.0423472093617383,75.1182718168401
"AFG",2053,2112.72383006496,0.0425079139956523,76.2343178351039
"AFG",2054,2202.87106514279,0.0426687264066414,77.3410106572532
"AFG",2055,2297.21925459548,0.0428296467031628,78.4374583394478
"AFG",2056,2395.65186294452,0.0428485910311514,79.5235608723457
"AFG",2057,2498.34758344706,0.0428675476979845,80.5984546314442
"AFG",2058,2605.49300884625,0.0428865167157209,81.6612748476002
"AFG",2059,2717.28298417757,0.0429054980964347,82.7111567325147
"AFG",2060,2833.92097549207,0.0429244918522167,83.7472366202042
"AFG",2061,2955.51708083915,0.0429073733525578,84.7722511657821
"AFG",2062,3082.27993295055,0.042890245139575,85.7854731973645
"AFG",2063,3214.42685095175,0.042873107204997,86.7861765910314
"AFG",2064,3352.18419802218,0.0428559595405469,87.7736371178333
"AFG",2065,3495.78775361116,0.0428388021379342,88.7471332986864
"AFG",2066,3645.47359099186,0.0428189146283464,89.7047962754035
"AFG",2067,3801.49627101555,0.0427990153074307,90.6458757127758
"AFG",2068,3964.1208759749,0.0427791041646624,91.5696278822406
"AFG",2069,4133.62343876781,0.0427591811895036,92.4753166278335
"AFG",2070,4310.29138932391,0.0427392463714036,93.3622143314939
"AFG",2071,4494.07294628346,0.0426378498248985,94.2357363552224
"AFG",2072,4685.2346585236,0.0425364061787703,95.0953449573909
"AFG",2073,4884.0521948881,0.0424349154001931,95.9405070218823
"AFG",2074,5090.81061997062,0.0423333774563122,96.770694602244
"AFG",2075,5305.80467678436,0.0422317923142412,97.5853854650032
"AFG",2076,5528.91207889123,0.0420496825077408,98.3863307308798
"AFG",2077,5760.39378550283,0.0418674964095338,99.1730764536438
"AFG",2078,6000.51714822046,0.0416852339716673,99.9451738597197
"AFG",2079,6249.55598224573,0.0415028951461505,100.702179770752
"AFG",2080,6507.79063449999,0.0413204798849516,101.443657023824
"AFG",2081,6775.27785911357,0.0411026167921784,102.16881714483
"AFG",2082,7052.28279625753,0.0408846608071358,102.877228652598
"AFG",2083,7339.07524353325,0.040666611870402,103.568467675088
"AFG",2084,7635.92960778027,0.0404484699225007,104.242118369387
"AFG",2085,7943.12484961098,0.0402302349039088,104.897773336182
"AFG",2086,8260.62122932826,0.0399712185982861,105.53525382096
"AFG",2087,8588.66778629893,0.0397120928152457,106.154174489535
"AFG",2088,8927.51527246092,0.0394528574853636,106.754159419992
"AFG",2089,9277.41595423566,0.0391935125391596,107.334842481522
"AFG",2090,9638.62340422604,0.0389340579070911,107.89586770525
"AFG",2091,10011.3784755156,0.03867306104377,108.436697137828
"AFG",2092,10395.9350731996,0.0384119528219373,108.956993357718
"AFG",2093,10792.5476182331,0.0381507331703084,109.456430384015
"AFG",2094,11201.4707937338,0.0378894020175382,109.934694015753
"AFG",2095,11622.9592807734,0.0376279592922202,110.391482160352
