"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GEM-E3_092019","EN_INDCi2030_1000","World","Emissions|CO2","Mt CO2/yr",39564.718600141736,41577.93389774057,42024.090931595754,"","","","",38860.775641115426,37992.23139617299,31907.24401502785,22168.98776823743,15326.488952783213,11187.717800916787,6878.937067407056,2160.7536993424974,2.5610461307223886e-8,-3.047762220376171e-8,-5.503216016222723e-8,-3.852119334624149e-7,1.7696947907097638e-8,4.936300683766603e-7,-3.3507876651128754e-7,-3.775621735258028e-7
"GEM-E3_092019","EN_INDCi2030_1000","World","GDP|MER","billion US$2010/yr",68824.17643141751,77013.87477128833,90166.53584455398,"","","","",103955.41352978488,118346.47491763618,134618.35525796047,151193.55209668385,168597.8689769895,186479.6852138935,205486.52922987318,225353.27766863047,249036.60594110252,276078.64236914256,303830.3398833438,333627.74561724893,365650.5135029555,399446.4507209122,434281.2438523796,471469.2576994011
"GEM-E3_092019","EN_INDCi2030_1000f","World","Emissions|CO2","Mt CO2/yr",39564.718600141736,41577.93389774057,42024.090931595754,"","","","",38860.775641115426,37992.23139617299,33988.47653295443,25501.40702897625,19225.163173331734,14942.203633551973,10346.9568743376,5155.07018769989,2123.349246709852,995.3315597504798,-778.2176805811264,-2197.617787413221,-4273.007425797592,-5015.700762481945,-5944.702178626751,-7397.638485766154
"GEM-E3_092019","EN_INDCi2030_1000f","World","GDP|MER","billion US$2010/yr",68824.17643141751,77013.87477128833,90166.53584455398,"","","","",103955.41352978488,118346.47491763618,134612.41694411178,151854.97556737973,169413.72419056177,187159.7139807326,206700.3398487458,226835.94734184706,249827.08447062605,276161.9731933095,302826.90812275466,333193.19321180164,364646.286801849,398158.621497341,432956.54427619,469941.68935595045
"GEM-E3_092019","EN_INDCi2100","World","Emissions|CO2","Mt CO2/yr",39564.718600141736,41577.93389774057,42024.090931595754,"","","","",38860.77564738909,37992.23139542801,38228.3896569381,38587.351980053914,39968.51199123956,40685.158043517935,41922.94802091783,43952.52403307987,46329.50273144776,48706.156537860894,51404.93904715038,54029.90167289794,56873.13842937216,59803.27277902887,62697.624393469494,65328.196889803454
"GEM-E3_092019","EN_INDCi2100","World","GDP|MER","billion US$2010/yr",68824.17643141751,77013.87477128833,90166.53584455398,"","","","",103955.41354967802,118346.47492462491,134533.58039711282,152297.733319028,170514.15399677918,189468.18190127896,209954.8541156619,232244.13217401877,256505.58342107086,282729.84145220567,310852.2668888025,340952.5210525848,372992.73582215817,406859.9590523779,442737.4052491056,480559.22691310203
"GEM-E3_092019","EN_NPi2020_1000","World","Emissions|CO2","Mt CO2/yr",39564.718600141736,41577.93389774057,42024.09093159576,"","","","",33367.219751947894,27163.06738925855,21852.52583857261,17607.196284975882,14826.256406674915,13144.380123967474,11522.059410049485,9860.291182191027,7935.138043615168,5711.048875407006,3172.286875818827,321.6661552657324,1.7714228306431323e-8,4.936227924190462e-7,-3.3503420127090067e-7,-3.7760037230327725e-7
"GEM-E3_092019","EN_NPi2020_1000","World","GDP|MER","billion US$2010/yr",68824.17643141751,77013.87477128833,90166.53584455408,"","","","",103890.71510825872,118075.59995034692,133668.16786934785,150874.6067764416,168451.8878866682,187036.23617582026,207102.7519280082,228827.11287532395,252095.71156937417,277148.0969073438,303945.6026100901,332194.6525181092,365392.1291850764,399191.29220287467,433977.574829017,471115.0946377142
"GEM-E3_092019","EN_NPi2020_1000f","World","Emissions|CO2","Mt CO2/yr",39564.718600141736,41577.93389774057,42024.09093159576,"","","","",34677.017002983535,29677.7735641553,25441.96608297025,21512.24177262557,18724.487676665434,16626.26374475302,14515.286665430194,12250.58207359126,9529.797132941158,4288.506625573211,1988.7189933414961,-2886.3182296745654,-4882.8697267900925,-5723.383430463604,-5759.672389804775,-5828.768700654992
"GEM-E3_092019","EN_NPi2020_1000f","World","GDP|MER","billion US$2010/yr",68824.17643141751,77013.87477128833,90166.53584455408,"","","","",104057.94250536371,118183.65387694017,133728.8748751377,151380.60615047053,169102.77217006133,187549.02069543325,207506.25052096928,229209.24622904658,252464.36951309128,275517.7194419809,303700.44742252456,331793.26129174564,364079.8052143153,397345.8885195776,433087.3553173853,470349.1758121801
